Laps,Time,Cumulative Time,Distance,Avg Pace,Avg GAP,Avg HR,Max HR,Total Ascent,Total Descent,Avg Power,Avg W/kg,Max Power,Max W/kg,Avg Run Cadence,Avg Ground Contact Time,Avg GCT Balance,Avg Stride Length,Avg Vertical Oscillation,Avg Vertical Ratio,Calories,Avg Temperature,Best Pace,Max Run Cadence,Moving Time,Avg Moving Pace,Beers Earned,Beers Earned
1,364,06:03.8,1,6:04,--,145,153,32,21,--,--,--,--,152,--,--,1.08,--,--,58,--,4:32,170,06:03.8,6:04,0.4,0.4
2,381,12:24,1,6:21,--,153,160,45,43,--,--,--,--,149,--,--,1.06,--,--,66,--,5:23,168,6:20,6:20,0.4,0.4
3,379,18:43,1,6:19,--,153,159,40,29,--,--,--,--,146,--,--,1.09,--,--,64,--,4:56,168,06:19.0,6:19,0.5,0.5
4,345,24:28:00,1,5:45,--,155,165,30,32,--,--,--,--,148,--,--,1.17,--,--,59,--,5:08,165,5:44,5:44,0.3,0.3
5,397,31:05:00,1,6:37,--,154,161,22,43,--,--,--,--,145,--,--,1.05,--,--,66,--,5:19,165,6:33,6:33,0.5,0.5
6,364,37:09:00,1,6:04,--,154,161,32,30,--,--,--,--,159,--,--,1.03,--,--,60,--,5:39,165,06:03.6,6:04,0.4,0.4
7,364,43:12:00,1,6:04,--,157,160,32,44,--,--,--,--,157,--,--,1.05,--,--,61,--,5:29,165,06:03.7,6:04,0.4,0.4
8,392,49:45:00,1,6:32,--,155,158,42,46,--,--,--,--,143,--,--,1.07,--,--,63,--,5:55,165,6:32,6:32,0.4,0.4
9,371,55:55:00,1,6:11,--,156,158,23,18,--,--,--,--,157,--,--,1.03,--,--,59,--,5:48,166,6:10,6:10,0.4,0.4
10,403,1:02:38,1,6:43,--,151,158,25,28,--,--,--,--,149,--,--,1,--,--,53,--,5:22,165,6:43,6:43,0.4,0.4
11,391,1:09:09,1,6:31,--,151,154,39,55,--,--,--,--,150,--,--,1.03,--,--,53,--,5:20,166,06:31.0,6:31,0.3,0.3
12,380,1:15:29,1,6:20,--,151,155,55,50,--,--,--,--,157,--,--,1.01,--,--,52,--,5:52,162,6:19,6:19,0.4,0.4
13,411,1:22:21,1,6:51,--,150,154,40,29,--,--,--,--,148,--,--,0.99,--,--,52,--,6:01,164,06:51.2,6:51,0.3,0.3
14,412,1:29:13,1,6:53,--,150,155,44,63,--,--,--,--,141,--,--,1.03,--,--,49,--,5:28,162,6:46,6:46,0.3,0.3
15,380,1:35:33,1,6:20,--,155,159,38,23,--,--,--,--,158,--,--,1,--,--,56,--,5:58,162,6:20,6:20,0.4,0.4
16,390,1:42:03,1,6:30,--,155,160,51,26,--,--,--,--,154,--,--,1,--,--,54,--,6:05,166,06:30.0,6:30,0.4,0.4
17,431,1:49:15,1,7:11,--,151,156,30,20,--,--,--,--,132,--,--,1.05,--,--,47,--,6:02,168,07:11.3,7:11,0.3,0.3
18,380,1:55:35,1,6:20,--,147,153,25,38,--,--,--,--,158,--,--,1,--,--,36,--,5:33,166,6:20,6:20,0.2,0.2
19,415,2:02:30,1,6:55,--,146,153,44,53,--,--,--,--,147,--,--,0.99,--,--,36,--,5:29,164,6:55,6:55,0.3,0.3
20,444,2:09:54,1,7:24,--,147,155,31,34,--,--,--,--,129,--,--,1.05,--,--,41,--,5:41,168,7:16,7:16,0.2,0.2
21,426,2:17:00,1,7:06,--,151,158,53,33,--,--,--,--,137,--,--,1.03,--,--,47,--,4:59,168,6:29,6:29,0.3,0.3
22,400,2:23:40,1,6:40,--,150,158,28,39,--,--,--,--,138,--,--,1.09,--,--,45,--,4:59,166,6:36,6:36,0.3,0.3
23,379,2:29:59,1,6:20,--,148,154,27,33,--,--,--,--,142,--,--,1.11,--,--,34,--,5:17,164,6:19,6:19,0.3,0.3
24,399,2:36:38,1,6:39,--,150,162,38,22,--,--,--,--,143,--,--,1.05,--,--,41,--,5:18,164,06:38.7,6:39,0.2,0.2
25,423,2:43:41,1,7:03,--,148,153,34,36,--,--,--,--,139,--,--,1.02,--,--,40,--,5:29,164,7:00,7:00,0.3,0.3
26,387,2:50:08,1,6:27,--,148,151,15,28,--,--,--,--,151,--,--,1.03,--,--,39,--,5:56,164,6:25,6:25,0.3,0.3
27,422,2:57:11,1,7:02,--,147,151,51,56,--,--,--,--,148,--,--,0.96,--,--,41,--,5:52,166,07:02.4,7:02,0.2,0.2
28,402,3:03:53,1,6:43,--,149,154,40,48,--,--,--,--,150,--,--,1,--,--,41,--,6:05,166,6:42,6:42,0.3,0.3
29,408,3:10:41,1,6:48,--,148,152,36,32,--,--,--,--,155,--,--,0.95,--,--,40,--,6:10,170,06:47.7,6:48,0.3,0.3
30,405,3:17:26,1,6:45,--,147,150,29,41,--,--,--,--,156,--,--,0.95,--,--,41,--,6:06,164,06:44.6,6:45,0.3,0.3
31,415,3:24:20,1,6:55,--,148,153,45,48,--,--,--,--,154,--,--,0.94,--,--,38,--,5:46,166,6:54,6:54,0.2,0.2
32,462,3:32:02,1,7:42,--,144,153,49,41,--,--,--,--,132,--,--,0.98,--,--,38,--,5:12,211,6:36,6:36,0.3,0.3
33,397,3:38:39,1,6:37,--,148,153,34,27,--,--,--,--,161,--,--,0.94,--,--,40,--,5:19,166,06:36.6,6:37,0.2,0.2
34,422,3:45:41,1,7:02,--,147,151,45,35,--,--,--,--,149,--,--,0.95,--,--,43,--,6:05,164,7:02,7:02,0.3,0.3
35,403,3:52:24,1,6:43,--,148,151,86,77,--,--,--,--,157,--,--,0.95,--,--,43,--,6:13,168,6:43,6:43,0.3,0.3
36,446,3:59:50,1,7:26,--,145,152,42,41,--,--,--,--,151,--,--,0.89,--,--,44,--,6:26,168,07:25.6,7:26,0.3,0.3
37,406,4:06:35,1,6:46,--,146,155,57,54,--,--,--,--,157,--,--,0.94,--,--,38,--,6:15,166,6:45,6:45,0.3,0.3
38,399,4:13:15,1,6:40,--,155,159,42,36,--,--,--,--,152,--,--,0.99,--,--,53,--,5:40,170,06:39.5,6:40,0.3,0.3
39,383,4:19:38,1,6:23,--,153,159,50,56,--,--,--,--,153,--,--,1.02,--,--,47,--,5:35,168,06:23.0,6:23,0.3,0.3
40,382,4:26:00,1,6:22,--,153,159,56,53,--,--,--,--,152,--,--,1.04,--,--,44,--,5:26,242,06:21.8,6:22,0.3,0.3
41,356,4:31:56,1,5:56,--,157,162,35,34,--,--,--,--,161,--,--,1.04,--,--,50,--,4:54,170,5:56,5:56,0.3,0.3
42,347,4:37:43,1,5:47,--,158,164,55,33,--,--,--,--,163,--,--,1.06,--,--,48,--,5:26,172,5:47,5:47,0.4,0.4
43,102,4:39:25,0.32,5:22,--,162,164,11,26,--,--,--,--,155,--,--,1.2,--,--,16,--,4:15,168,1:41,5:20,0.1,0.1
Summary,2365,4:39:25,42.32,6:36,,151,165,"1,675","1,653",,,,,149,,,1.02,,,"2,036",,4:15,242,4:37:07,6:33,--,--
